comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
4.9065657,3.4729075,4.9254856,1.4691508,1.6045213,7.158936,1.9807036,3.9700925,1012087_F.jpg
3.0843124,2.8424454,3.2695262,1.1062772,1.1321223,4.736338,1.1463321,2.6000881,1012088_F.jpg
4.240859,4.238905,4.1359835,1.6474535,1.3441364,6.3306675,1.4905286,3.6670604,1012092_F.jpg
6.409748,5.365033,5.060667,2.4792345,2.4350421,9.70237,2.3161435,5.1933737,1012099_F.jpg
4.2341022,3.8641698,4.008883,1.5792878,1.2561094,6.107503,1.4342568,3.6924996,1012100_F.jpg
6.396194,5.012347,5.470766,2.389379,1.9620199,8.008968,2.1934175,5.253829,1012101_F.jpg
2.3141046,2.488346,2.2443283,0.9691534,1.3033738,3.25417,0.8457898,2.1352427,1012103_F.jpg
3.3928313,3.1694362,3.2057927,1.408853,1.4416833,4.659724,1.1973915,2.8890762,1012105_F.jpg
3.3808076,3.2496414,3.3285747,1.3217144,1.2299407,4.8647375,1.1695223,2.9006393,1012106_F.jpg
5.6735344,4.3272095,5.0420175,2.1704087,2.1711257,7.9074583,2.270275,5.2237964,1012107_F.jpg
3.807033,3.4821088,3.684575,1.556586,1.5889921,5.4769998,1.3926406,3.6040807,1012108_F.jpg
4.1268325,4.245578,3.9377599,1.7934834,1.5198298,6.2978973,1.4457961,4.255771,1012109_F.jpg
6.7289915,7.347681,6.5613985,3.4160573,1.9578271,11.009634,2.5384328,6.158056,1012110_F.jpg
4.4778485,5.7646646,4.5425205,2.5410364,1.4979119,8.03822,1.448827,4.4950333,1012111_F.jpg
4.2157226,3.8608754,4.29344,1.7865696,1.4355621,6.395466,1.7534918,3.0811608,1012112_F.jpg
1.733755,1.942553,1.5991044,0.96317613,1.564429,2.2622218,0.7725968,1.5419734,1012113_F.jpg
6.815912,5.6699414,6.026618,2.3437302,2.00049,9.132927,2.2517328,5.669677,1012114_F.jpg
6.366695,4.7064342,6.065446,1.9572437,1.8522094,8.221537,2.2474337,4.930137,1012115_F.jpg
4.3380704,3.5983782,4.6699696,1.3130274,1.1853294,6.2204647,1.629889,3.4924045,1012118_F.jpg
3.1898808,3.802301,3.2687798,1.3953083,1.1166857,5.1575813,1.0039705,3.2108421,1012119_F.jpg
5.7939844,5.3555956,5.598816,2.058767,1.7834105,8.149899,1.858433,5.2615933,1012120_F.jpg
3.9954224,3.3376694,4.3008213,1.2313758,1.1080875,5.5641174,1.447292,3.1642842,1012122_F.jpg
6.9041395,5.776622,5.910477,2.4710941,2.2062106,9.071426,2.2242146,5.5233197,1012123_F.jpg
3.3331738,3.7322733,3.3810015,1.3471768,1.1127241,5.048009,1.0105038,3.149137,1012124_F.jpg
5.6819887,5.24726,4.922265,2.0766172,1.8506792,8.188502,1.7830186,4.591607,1012125_F.jpg
3.3722992,2.827083,3.6500907,0.9933758,0.9314775,4.5247865,1.2107695,2.5328348,1012126_F.jpg
4.895384,6.5792494,4.60311,2.6566072,1.7055415,9.169713,1.5974507,5.0572705,1012128_F.jpg
3.4125805,3.7794368,3.3805509,1.7520316,1.409251,5.6355586,1.3743899,2.9622717,1012129_F.jpg
3.983727,3.9048283,3.9337626,1.6525862,1.7057455,6.326755,1.5696758,3.8990736,1012132_F.jpg
5.542586,4.670419,4.7842884,2.3471913,2.1257405,7.5785375,2.388612,4.8181653,1012133_F.jpg
5.011931,4.0581036,4.442497,1.9926767,1.8383098,6.67779,2.211711,4.046417,1012138_F.jpg
5.497258,3.9868343,4.2452526,1.97128,2.0261421,6.487295,2.075232,4.3754935,1012142_F.jpg
5.7062454,5.404954,5.001562,2.4317698,2.054933,8.169798,2.1283154,5.5513067,1012143_F.jpg
3.3209095,3.5677805,3.272862,1.599134,1.6985174,5.37154,1.3062704,3.4375634,1012144_F.jpg
2.710867,2.5354295,2.8557863,1.1456753,1.4355694,4.067205,1.1583843,2.3795424,1012145_F.jpg
5.6244116,4.4321938,4.5761566,2.0886278,2.2042744,7.2998567,2.1959953,4.799041,1012146_F.jpg
3.559051,3.0797653,3.455204,1.3326011,1.3183393,4.899184,1.3432138,2.8985362,1012148_F.jpg
6.141737,5.049656,4.8574677,2.384273,2.344388,8.103867,2.2271957,5.6171,1012149_F.jpg
5.2510347,3.9088922,4.677498,1.8884227,1.7396597,6.6353865,1.9466162,4.1660585,1012150_F.jpg
4.4021707,4.015477,4.0161867,1.8335109,1.5142559,6.16532,1.4828255,3.8800106,1012151_F.jpg
2.8243883,2.5309784,2.8280544,1.1172764,1.3876193,4.286607,1.131352,2.4268937,1012152_F.jpg
5.286439,4.151141,4.464285,2.025414,2.2556164,6.570796,2.1044955,4.481776,1012153_F.jpg
3.008325,2.6329064,3.0416849,1.1986445,1.5069095,4.137325,1.2302239,2.606162,1012154_F.jpg
8.255477,8.311444,7.2686243,3.682916,1.7996072,13.838195,2.8884227,7.229477,1012155_F.jpg
6.4381647,5.7350473,6.2029605,2.5684416,1.4573648,10.464937,2.547951,4.8816085,1012156_F.jpg
7.560253,7.8667355,6.2450256,3.2954597,2.0457134,12.55141,2.8970406,6.7347307,1012157_F.jpg
